keyword,search_volume,etv,position,ranking_url,keyword_difficulty,cpc,search_intent
bath and towel,49500,15048,2,https://www.brooklinen.com/collections/bath-towel-bundles,6,1.6200000047683716,transactional
bed sheets best,33100,10062.400390625,3,https://www.brooklinen.com/collections/best-sellers,23,7.360000133514404,commercial
best best sheets,33100,10062.400390625,2,https://www.brooklinen.com/collections/best-sellers,20,7.360000133514404,transactional
cotton percale bed sheets,33100,10062.400390625,2,https://www.brooklinen.com/collections/classic-percale-sheets,0,3.5,transactional
cotton percale sheets,33100,10062.400390625,3,https://www.brooklinen.com/collections/classic-percale-sheets,0,3.5,transactional
good bed sheet,33100,10062.400390625,2,https://www.brooklinen.com/collections/best-sellers,5,7.360000133514404,commercial
percale bed sheets,33100,10062.400390625,1,https://www.brooklinen.com/collections/classic-percale-sheets,0,4.28000020980835,transactional
percale cotton sheets,33100,10062.400390625,3,https://www.brooklinen.com/collections/classic-percale-sheets,0,3.5,transactional
percale sheet,33100,10062.400390625,2,https://www.brooklinen.com/collections/classic-percale-sheets,0,4.28000020980835,transactional
percale sheets,33100,10062.400390625,1,https://www.brooklinen.com/collections/classic-percale-sheets,0,4.28000020980835,transactional
flannel sheets bed,27100,8238.400390625,1,https://www.brooklinen.com/collections/brushed-flannel-sheets,0,1.6299999952316284,transactional
bathroom towels,49500,8019,3,https://www.brooklinen.com/collections/all-towels,3,1.6200000047683716,transactional
towels for bathroom,49500,8019,3,https://www.brooklinen.com/collections/all-towels,0,1.559999942779541,transactional
linens,90500,5963.9501953125,5,https://www.brooklinen.com/,0,2.6500000953674316,transactional
brookline,60500,5886.64990234375,3,https://www.brooklinen.com/,46,8.819999694824219,informational
linens sheets,60500,5886.64990234375,5,https://www.brooklinen.com/collections/washed-linen-sheets,0,4.25,transactional
duvet covers,165000,5577,11,https://www.brooklinen.com/collections/duvet-covers,3,2.4800000190734863,transactional
best towels for bathroom,18100,5502.39990234375,2,https://www.brooklinen.com/pages/all-bath,0,3.7200000286102295,informational
cotton percale sheet,33100,5362.2001953125,3,https://www.brooklinen.com/collections/classic-percale-sheets,0,3.5,transactional
bath towels,49500,4816.35009765625,5,https://www.brooklinen.com/collections/all-towels,6,1.6200000047683716,transactional
bath towels towels,49500,4816.35009765625,6,https://www.brooklinen.com/collections/all-towels,6,1.6200000047683716,transactional
bedding,60500,3986.949951171875,5,https://www.brooklinen.com/pages/all-bed,22,3.319999933242798,transactional
linen for bed sheets,60500,3986.949951171875,9,https://www.brooklinen.com/collections/washed-linen-sheets,0,4.25,transactional
sheets and linens,60500,3986.949951171875,12,https://www.brooklinen.com/,0,4.25,transactional
bedding sets,110000,3718,8,https://www.brooklinen.com/,2,2.799999952316284,transactional
luxury bed comforters,74000,3470.60009765625,7,https://www.brooklinen.com/,0,5.179999828338623,transactional
luxury bedroom comforters,74000,3470.60009765625,6,https://www.brooklinen.com/,0,5.179999828338623,transactional
bath towel,49500,3262.050048828125,6,https://www.brooklinen.com/collections/bath-towel-bundles,6,1.6200000047683716,transactional
down down comforter,49500,3262.050048828125,7,https://www.brooklinen.com/products/down-comforter,0,4.980000019073486,transactional
duvet and cover,165000,3250.5,13,https://www.brooklinen.com/collections/duvet-covers,0,2.4800000190734863,transactional
best duvet covers,9900,3009.60009765625,2,https://www.brooklinen.com/collections/duvet-covers,5,5.349999904632568,commercial
comforter down alternative,9900,3009.60009765625,1,https://www.brooklinen.com/products/down-alternative-comforter,0,3.6100001335144043,informational
down alternative pillow,9900,3009.60009765625,4,https://www.brooklinen.com/products/down-alternative-pillow,0,2.9100000858306885,transactional
towel set for bathroom,9900,3009.60009765625,2,https://www.brooklinen.com/collections/bath-towel-bundles,0,1.3199999332427979,transactional
down pillow,27100,2636.830078125,4,https://www.brooklinen.com/products/down-pillow,0,4.449999809265137,transactional
curtain shower curtain,165000,2475,15,https://www.brooklinen.com/collections/shower-curtains,5,0.8199999928474426,transactional
good bed sheets,33100,2181.2900390625,6,https://www.brooklinen.com/,17,7.360000133514404,transactional
bed bath ab,1000000,2100,40,https://www.brooklinen.com/,51,0.46000000834465027,transactional
finest linen sheets,6600,2006.4000244140625,2,https://www.brooklinen.com/collections/washed-linen-sheets,0,7.019999980926514,commercial
sateen sheet,6600,2006.4000244140625,2,https://www.brooklinen.com/collections/luxe-sateen-sheets,0,5.199999809265137,transactional
down comforter set,12100,1960.199951171875,3,https://www.brooklinen.com/products/down-comforter,0,2.5899999141693115,transactional
percale,12100,1960.199951171875,4,https://www.brooklinen.com/collections/classic-percale-sheets,0,4.090000152587891,informational
luxury bedroom comforter,74000,1894.4000244140625,12,https://www.brooklinen.com/,0,5.179999828338623,transactional
beach towel towel,49500,1673.0999755859375,8,https://www.brooklinen.com/collections/beach-towels,0,1.2699999809265137,transactional
bed sheets,110000,1650,17,https://www.brooklinen.com/,7,2.799999952316284,transactional
comforter,110000,1650,15,https://www.brooklinen.com/collections/comforters,7,2.2100000381469727,transactional
100 cotton percale sheets,5400,1641.5999755859375,7,https://www.brooklinen.com/collections/classic-percale-sheets,0,3.0299999713897705,transactional
100 cotton sheets percale,5400,1641.5999755859375,5,https://www.brooklinen.com/collections/classic-percale-sheets,0,3.0299999713897705,transactional
cotton sateen bed set,5400,1641.5999755859375,2,https://www.brooklinen.com/collections/luxe-sateen-sheets,0,3.630000114440918,transactional
cotton sateen sheets,5400,1641.5999755859375,2,https://www.brooklinen.com/collections/luxe-sateen-sheets,0,3.630000114440918,transactional
linen queen sheets,5400,1641.5999755859375,3,https://www.brooklinen.com/collections/washed-linen-sheets,0,3.319999933242798,transactional
percale duvet cover,5400,1641.5999755859375,2,https://www.brooklinen.com/products/classic-duvet-cover,0,4.880000114440918,transactional
percale sheets 100 cotton,5400,1641.5999755859375,4,https://www.brooklinen.com/collections/classic-percale-sheets,0,3.0299999713897705,transactional
sateen weave cotton sheets,5400,1641.5999755859375,4,https://www.brooklinen.com/collections/luxe-sateen-sheets,0,3.630000114440918,transactional
waffle robe,5400,1641.5999755859375,2,https://www.brooklinen.com/products/waffle-robe,0,2.2300000190734863,transactional
waffle towels,5400,1641.5999755859375,2,https://www.brooklinen.com/collections/waffle-towels,0,2.6700000762939453,transactional
bath towel set,9900,1603.800048828125,4,https://www.brooklinen.com/collections/bath-towel-bundles,0,1.3199999332427979,transactional
bath towel sets,9900,1603.800048828125,3,https://www.brooklinen.com/collections/bath-towel-bundles,0,1.3199999332427979,transactional
bathroom towels set,9900,1603.800048828125,3,https://www.brooklinen.com/collections/bath-towel-bundles,0,1.3199999332427979,transactional
down alternative comforter,9900,1603.800048828125,5,https://www.brooklinen.com/products/down-alternative-comforter,0,3.6100001335144043,transactional
sheet set,9900,1603.800048828125,3,https://www.brooklinen.com/collections/sheet-bundles,0,3.2100000381469727,transactional
best bed sheets,33100,1552.3900146484375,7,https://www.brooklinen.com/,0,7.360000133514404,transactional
cool sheets,33100,1552.3900146484375,8,https://www.brooklinen.com/pages/cooling,0,4.159999847412109,transactional
fitted sheet percale,33100,1552.3900146484375,7,https://www.brooklinen.com/products/classic-fitted-sheets,0,4.28000020980835,transactional
quilt,165000,1501.5,19,https://www.brooklinen.com/collections/quilts-bed-blankets,11,1.2999999523162842,informational
shower curtain curtains,165000,1501.5,18,https://www.brooklinen.com/collections/shower-curtains,0,0.8199999928474426,transactional
king doona cover,14800,1440.0400390625,6,https://www.brooklinen.com/collections/duvet-covers,0,2.809999942779541,transactional
king duvet covers,14800,1440.0400390625,4,https://www.brooklinen.com/collections/duvet-covers,0,2.809999942779541,transactional
satin sheets bedding,14800,1440.0400390625,6,https://www.brooklinen.com/collections/luxe-sateen-sheets,0,1.809999942779541,transactional
bed linen percale,4400,1337.5999755859375,1,https://www.brooklinen.com/collections/classic-percale-sheets,0,5.650000095367432,transactional
bedding percale,4400,1337.5999755859375,3,https://www.brooklinen.com/collections/classic-percale-sheets,0,5.650000095367432,transactional
best sheets percale,4400,1337.5999755859375,1,https://www.brooklinen.com/collections/classic-percale-sheets,0,6.119999885559082,commercial
blanket and linen,4400,1337.5999755859375,5,https://www.brooklinen.com/collections/quilts-bed-blankets,0,2.1700000762939453,transactional
brooklin,4400,1337.5999755859375,1,https://www.brooklinen.com/,17,4.429999828338623,informational
percale bed linen,4400,1337.5999755859375,4,https://www.brooklinen.com/collections/classic-percale-sheets,0,5.650000095367432,transactional
bed linens,8100,1312.199951171875,3,https://www.brooklinen.com/,1,5.46999979019165,transactional
bedsheet store near me,8100,1312.199951171875,6,https://www.brooklinen.com/,14,2.4800000190734863,navigational
towel set,8100,1312.199951171875,3,https://www.brooklinen.com/collections/bath-towel-bundles,0,1.159999966621399,transactional
towel sets,8100,1312.199951171875,3,https://www.brooklinen.com/collections/bath-towel-bundles,0,1.159999966621399,transactional
best bath towel,18100,1192.7900390625,6,https://www.brooklinen.com/pages/all-bath,0,3.7200000286102295,transactional
best bath towels,18100,1192.7900390625,7,https://www.brooklinen.com/pages/all-bath,0,3.7200000286102295,commercial
pillowcase silk,60500,1191.8499755859375,12,https://www.brooklinen.com/products/mulberry-silk-pillowcase,0,5.460000038146973,transactional
pillow protectors,12100,1177.3299560546875,6,https://www.brooklinen.com/products/pillow-protector,0,1.8799999952316284,transactional
bedding sheet queen,33100,1118.780029296875,10,https://www.brooklinen.com/collections/all-sheets,26,1.899999976158142,transactional
cotton percale fitted sheet,33100,1118.780029296875,8,https://www.brooklinen.com/products/classic-fitted-sheets,0,3.5,transactional
luxury bedding,74000,1110,15,https://www.brooklinen.com/,0,5.179999828338623,transactional
bed sheet sets sale,3600,1094.4000244140625,2,https://www.brooklinen.com/collections/last-call,0,2.2699999809265137,transactional
bed sheets set sale,3600,1094.4000244140625,2,https://www.brooklinen.com/collections/last-call,13,2.2699999809265137,transactional
cotton percale,3600,1094.4000244140625,2,https://www.brooklinen.com/collections/classic-percale-sheets,0,3.630000114440918,informational
high quality sheets,3600,1094.4000244140625,2,https://www.brooklinen.com/collections/classic-percale-sheets,28,7.050000190734863,transactional
high quality towel,3600,1094.4000244140625,1,https://www.brooklinen.com/pages/all-bath,0,6.809999942779541,transactional
satin bedding sheets,3600,1094.4000244140625,2,https://www.brooklinen.com/collections/luxe-sateen-sheets,0,1.399999976158142,transactional
sheets on sale,3600,1094.4000244140625,1,https://www.brooklinen.com/collections/last-call,0,2.2699999809265137,transactional
comforters and duvet covers,6600,1069.199951171875,4,https://www.brooklinen.com/collections/duvet-covers,0,2.7200000286102295,transactional
towels,90500,1022.6500244140625,20,https://www.brooklinen.com/collections/all-towels,0,2.0399999618530273,transactional
duvets,110000,1001,18,https://www.brooklinen.com/collections/duvet-covers,5,2.9600000381469727,transactional
linen bedding sheets,14800,975.3200073242188,7,https://www.brooklinen.com/collections/washed-linen-sheets,0,3.9000000953674316,transactional
down bedspreads,49500,975.1500244140625,12,https://www.brooklinen.com/products/down-comforter,0,4.730000019073486,transactional
bed and blankets,9900,963.27001953125,4,https://www.brooklinen.com/collections/quilts-bed-blankets,0,2.490000009536743,transactional
bedroom sheets queen,9900,963.27001953125,6,https://www.brooklinen.com/collections/all-sheets,11,1.600000023841858,transactional
good towels,9900,963.27001953125,5,https://www.brooklinen.com/pages/all-bath,0,5.349999904632568,transactional
linen sheets,60500,907.5,15,https://www.brooklinen.com/collections/washed-linen-sheets,0,4.25,transactional
bedroom duvets,2900,881.5999755859375,1,https://www.brooklinen.com/collections/duvet-covers,0,2.4200000762939453,transactional
breathable bed linen,2900,881.5999755859375,4,https://www.brooklinen.com/collections/classic-percale-sheets,8,2.9100000858306885,informational
comforter and bed sheet set,2900,881.5999755859375,2,https://www.brooklinen.com/collections/sheet-bundles,11,1.8299999237060547,transactional
comforter sheet set,2900,881.5999755859375,2,https://www.brooklinen.com/collections/sheet-bundles,11,1.8299999237060547,transactional
comforter with sheet sets,2900,881.5999755859375,3,https://www.brooklinen.com/collections/sheet-bundles,0,1.8299999237060547,transactional
coolest duvet covers,2900,881.5999755859375,2,https://www.brooklinen.com/collections/duvet-covers,4,4,commercial
cotton percale cooling sheets,2900,881.5999755859375,1,https://www.brooklinen.com/collections/classic-percale-sheets,0,1.4900000095367432,informational
cotton percale sheets for hot sleepers,2900,881.5999755859375,1,https://www.brooklinen.com/collections/classic-percale-sheets,0,2.069999933242798,commercial
high quality bath towels,2900,881.5999755859375,1,https://www.brooklinen.com/pages/all-bath,10,5.779999732971191,transactional
high quality bathroom towels,2900,881.5999755859375,3,https://www.brooklinen.com/pages/all-bath,0,5.779999732971191,transactional
high quality bed sheets,2900,881.5999755859375,1,https://www.brooklinen.com/collections/best-sellers,8,6.929999828338623,transactional
marlow pillow,2900,881.5999755859375,2,https://www.brooklinen.com/products/marlow-cooling-bundle,0,2.75,transactional
marlow pillows,2900,881.5999755859375,1,https://www.brooklinen.com/products/marlow-pillow,0,2.75,transactional
sheet set with comforter,2900,881.5999755859375,2,https://www.brooklinen.com/collections/sheet-bundles,0,1.8299999237060547,transactional
waffle robe women's,2900,881.5999755859375,2,https://www.brooklinen.com/products/waffle-robe,0,1.9500000476837158,transactional
best towels for beach,5400,874.7999877929688,2,https://www.brooklinen.com/collections/beach-towels,0,2.4100000858306885,informational
cotton sateen bed sheets,5400,874.7999877929688,5,https://www.brooklinen.com/collections/luxe-sateen-sheets,0,3.630000114440918,transactional
durable linen sheets,5400,874.7999877929688,2,https://www.brooklinen.com/collections/washed-linen-sheets,0,5.710000038146973,transactional
sateen cotton sheets,5400,874.7999877929688,4,https://www.brooklinen.com/collections/luxe-sateen-sheets,0,3.630000114440918,transactional
towel waffle,5400,874.7999877929688,4,https://www.brooklinen.com/collections/waffle-towels,0,2.6700000762939453,transactional
best sheets,33100,847.3599853515625,12,https://www.brooklinen.com/,0,7.360000133514404,commercial
cool bed sets,33100,847.3599853515625,9,https://www.brooklinen.com/,0,4.159999847412109,transactional
duvet inserts,33100,847.3599853515625,12,https://www.brooklinen.com/collections/duvet-inserts-pillows,0,3,transactional
fitted sheets percale,33100,847.3599853515625,8,https://www.brooklinen.com/collections/classic-percale-sheets,0,4.28000020980835,transactional
fitted bed sheets,40500,797.8499755859375,13,https://www.brooklinen.com/products/classic-fitted-sheets,0,2.180000066757202,transactional
fitted bottom sheets,40500,797.8499755859375,10,https://www.brooklinen.com/products/classic-fitted-sheets,0,2.180000066757202,transactional
bedding and sheets,12100,797.3900146484375,6,https://www.brooklinen.com/,0,4.639999866485596,transactional
bed and linen,8100,788.1300048828125,7,https://www.brooklinen.com/,0,5.46999979019165,transactional
bed linen,8100,788.1300048828125,5,https://www.brooklinen.com/,1,5.46999979019165,transactional
bed sheet comforter,8100,788.1300048828125,6,https://www.brooklinen.com/collections/sheet-bundles,0,1.340000033378601,transactional
bedding and linen,8100,788.1300048828125,8,https://www.brooklinen.com/,0,5.46999979019165,transactional
bedding sale memorial day,8100,788.1300048828125,3,https://www.brooklinen.com/collections/last-call,0,11.380000114440918,commercial
bedroom linen,8100,788.1300048828125,5,https://www.brooklinen.com/,0,5.46999979019165,transactional
bedsheets linen,8100,788.1300048828125,3,https://www.brooklinen.com/collections/washed-linen-sheets,0,5.46999979019165,transactional
high quality bed linens,8100,788.1300048828125,4,https://www.brooklinen.com/,8,5.269999980926514,transactional
high quality bedding,8100,788.1300048828125,6,https://www.brooklinen.com/,1,5.269999980926514,commercial
quilt blanket,8100,788.1300048828125,4,https://www.brooklinen.com/collections/quilts-bed-blankets,0,0.9900000095367432,transactional
100 long-staple cotton sheets,2400,729.5999755859375,4,https://www.brooklinen.com/collections/classic-percale-sheets,0,3.2100000381469727,transactional
bed sheet sales,2400,729.5999755859375,2,https://www.brooklinen.com/collections/last-call,1,1.809999942779541,transactional
bed sheets sale,2400,729.5999755859375,1,https://www.brooklinen.com/collections/last-call,0,1.809999942779541,transactional
cotton percale bed linens,2400,729.5999755859375,2,https://www.brooklinen.com/collections/classic-percale-sheets,0,3.700000047683716,transactional
percale cotton bedding,2400,729.5999755859375,2,https://www.brooklinen.com/collections/classic-percale-sheets,0,3.700000047683716,transactional
quilt for summer,2400,729.5999755859375,1,https://www.brooklinen.com/collections/quilts-bed-blankets,0,1.9600000381469727,informational
quilt summer,2400,729.5999755859375,2,https://www.brooklinen.com/collections/quilts-bed-blankets,0,1.9600000381469727,informational
quilts for summer,2400,729.5999755859375,2,https://www.brooklinen.com/collections/quilts-bed-blankets,0,1.9600000381469727,informational
top-rated down alternative comforters,2400,729.5999755859375,2,https://www.brooklinen.com/products/down-alternative-comforter,7,6.869999885559082,commercial
best percale sheet,4400,712.7999877929688,3,https://www.brooklinen.com/collections/classic-percale-sheets,2,6.119999885559082,commercial
comforter covers,4400,712.7999877929688,2,https://www.brooklinen.com/collections/duvet-covers,11,2.4200000762939453,transactional
duvet cover queen,14800,694.1199951171875,7,https://www.brooklinen.com/collections/duvet-covers,0,2.3399999141693115,transactional
duvet set king,14800,694.1199951171875,8,https://www.brooklinen.com/collections/duvet-covers,0,2.809999942779541,transactional
linen bed sheets,14800,694.1199951171875,8,https://www.brooklinen.com/collections/washed-linen-sheets,0,3.9000000953674316,transactional
linen bedding,14800,694.1199951171875,8,https://www.brooklinen.com/,0,4.150000095367432,transactional
bath mat,74000,673.4000244140625,19,https://www.brooklinen.com/collections/bath-rugs-mats,0,1.309999942779541,transactional
alternative down pillow,9900,652.4099731445312,8,https://www.brooklinen.com/products/down-alternative-pillow,0,2.9100000858306885,transactional
bath cotton towel,9900,652.4099731445312,5,https://www.brooklinen.com/collections/all-towels,0,1.6399999856948853,transactional
bath towels cotton,9900,652.4099731445312,8,https://www.brooklinen.com/collections/all-towels,0,1.6399999856948853,transactional
best duvet and cover,9900,652.4099731445312,6,https://www.brooklinen.com/collections/duvet-covers,0,5.349999904632568,commercial
best duvet cover,9900,652.4099731445312,5,https://www.brooklinen.com/collections/duvet-covers,1,5.349999904632568,transactional
down alternative pillows,9900,652.4099731445312,8,https://www.brooklinen.com/products/down-alternative-pillow,0,2.9100000858306885,transactional
mulberry silk pillowcase,9900,652.4099731445312,6,https://www.brooklinen.com/products/mulberry-silk-pillowcase,0,3.5999999046325684,transactional
set of bed sheets,9900,652.4099731445312,9,https://www.brooklinen.com/collections/sheet-bundles,1,3.2100000381469727,transactional
bath robe,33100,652.0700073242188,16,https://www.brooklinen.com/products/super-plush-robe,0,1.7200000286102295,transactional
coolest sheets,33100,652.0700073242188,12,https://www.brooklinen.com/pages/cooling,11,4.139999866485596,informational
best down comforter,6600,642.1799926757812,4,https://www.brooklinen.com/products/down-comforter,0,7.420000076293945,transactional
comforter and duvet cover,6600,642.1799926757812,6,https://www.brooklinen.com/collections/comforters,1,2.7200000286102295,transactional
cotton bathrobes,6600,642.1799926757812,6,https://www.brooklinen.com/products/super-plush-robe,0,1.8199999332427979,transactional
down queen comforter,6600,642.1799926757812,5,https://www.brooklinen.com/products/down-comforter,0,4.130000114440918,transactional
duvet comforter covers,6600,642.1799926757812,6,https://www.brooklinen.com/collections/duvet-covers,4,2.7200000286102295,transactional
sateen sheets,6600,642.1799926757812,7,https://www.brooklinen.com/collections/luxe-sateen-sheets,0,5.199999809265137,transactional
split king sheets,6600,642.1799926757812,5,https://www.brooklinen.com/products/luxe-split-king-sheet-set,0,4.579999923706055,transactional
bed sheets in sale,3600,583.2000122070312,3,https://www.brooklinen.com/collections/last-call,0,2.2699999809265137,transactional
bed sheets on sale,3600,583.2000122070312,3,https://www.brooklinen.com/collections/last-call,0,2.2699999809265137,transactional
comforters duvet,3600,583.2000122070312,4,https://www.brooklinen.com/collections/comforters,0,3.059999942779541,transactional
full duvet cover,3600,583.2000122070312,2,https://www.brooklinen.com/collections/duvet-covers,0,1.6200000047683716,transactional
